iter	Logloss
0	0.6860063427
1	0.678518568
2	0.6739385272
3	0.66704942
4	0.6606949434
5	0.654624695
6	0.6488392192
7	0.643581622
8	0.6373263414
9	0.6315514454
10	0.6251009412
11	0.6198210243
12	0.6147827323
13	0.6093864747
14	0.6041682746
15	0.5991583832
16	0.5956881446
17	0.5931755305
18	0.588108765
19	0.5837514148
20	0.5790198108
21	0.574369897
22	0.5698964936
23	0.5673920341
24	0.5637198154
25	0.5603458216
26	0.5562551223
27	0.5535483157
28	0.5499443077
29	0.5463874222
30	0.5424416166
31	0.5396777962
32	0.5360206177
33	0.532502646
34	0.5293081922
35	0.5258621934
36	0.5226829478
37	0.5205191718
38	0.5170112166
39	0.5146135569
40	0.5109407643
41	0.5093204993
42	0.5075007946
43	0.5044875698
44	0.5021018444
45	0.4994812116
46	0.4965063987
47	0.4944825529
48	0.4916487195
49	0.4887198537
50	0.4862086674
51	0.483832504
52	0.4824283169
53	0.4810256548
54	0.4788817979
55	0.4764331943
56	0.4741749051
57	0.4723191198
58	0.4705398441
59	0.4684659071
60	0.4674015248
61	0.4657719489
62	0.4637189236
63	0.4628983606
64	0.4613589296
65	0.4591928178
66	0.4573975746
67	0.4554271152
68	0.4542919399
69	0.4526868842
70	0.450308233
71	0.448949599
72	0.448285764
73	0.4463182615
74	0.4442232787
75	0.4429908182
76	0.4420820624
77	0.4403452109
78	0.4385218116
79	0.4363477613
80	0.4345631444
81	0.4327116211
82	0.431322467
83	0.4297912147
84	0.4283411104
85	0.427616501
86	0.4261042781
87	0.4250648465
88	0.423065646
89	0.4212438308
90	0.4203823334
91	0.4196564235
92	0.4186692336
93	0.4181997825
94	0.4165690828
95	0.4150254913
96	0.4141253224
97	0.4130014893
98	0.4122458272
99	0.4112917072
100	0.4100371233
101	0.4096560866
102	0.4086733147
103	0.4073706839
104	0.405925703
105	0.4054763797
106	0.4045605112
107	0.4037483835
108	0.4025894036
109	0.4019460455
110	0.4011915248
111	0.4009039831
112	0.3998643043
113	0.3990638717
114	0.3979535969
115	0.39703872
116	0.3961366212
117	0.3951896754
118	0.3943393733
119	0.3935362821
120	0.3924128734
121	0.3922074653
122	0.391179972
123	0.3909172812
124	0.3901378401
125	0.3893498
126	0.3884562866
127	0.3875472208
128	0.3873281925
129	0.3867206301
130	0.3858211906
131	0.3849724772
132	0.3842500435
133	0.3836371066
134	0.3828574291
135	0.3820670803
136	0.3819061084
137	0.3815174974
138	0.3806311833
139	0.3798972355
140	0.3790563083
141	0.378917973
142	0.3781608782
143	0.3777184099
144	0.3771027164
145	0.3769837067
146	0.3762283347
147	0.37581247
148	0.375701255
149	0.3750303197
150	0.3746693382
151	0.3739900182
152	0.373406161
153	0.3728888968
154	0.3727449967
155	0.3726511798
156	0.3717392501
157	0.3710491934
158	0.3707737148
159	0.3701504115
160	0.3695821233
161	0.3689490465
162	0.3682402206
163	0.3677913228
164	0.3674861198
165	0.3665054564
166	0.3660686192
167	0.3654692479
168	0.3652093019
169	0.3648621431
170	0.3642427502
171	0.3639660927
172	0.3633181184
173	0.3630630697
174	0.3624145985
175	0.3617176563
176	0.3616412741
177	0.3611312986
178	0.360580155
179	0.360093893
180	0.3594773935
181	0.3591867201
182	0.358764647
183	0.3583145426
184	0.3578358739
185	0.3577434176
186	0.3574770773
187	0.356983114
188	0.3565332915
189	0.3560221353
190	0.3554778391
191	0.355371015
192	0.3550566192
193	0.3543586139
194	0.3537759739
195	0.3537312346
196	0.3535998207
197	0.3531577646
198	0.3531170896
199	0.353041277
